d3mIndex,V1,V2,V3,V4,V5,V6,V7,Class
64,3.0,0.0,18.0,4.0,27.0,9.85,29.55,1
65,4.0,12.0,18.0,4.0,27.0,12.04,29.55,1
66,0.0,0.0,0.0,0.0,11.0,11.0,28.46,1
67,1.0,8.0,0.0,9.0,9.0,9.06,28.46,
68,2.0,0.0,11.0,9.0,9.0,9.22,28.46,
69,3.0,0.0,11.0,2.0,27.0,16.12,28.46,
70,4.0,9.0,9.0,9.0,22.0,13.0,28.46,1
71,5.0,2.0,27.0,9.0,22.0,8.6,28.46,1
72,0.0,0.0,0.0,0.0,19.0,19.0,49.74,
73,1.0,23.0,0.0,25.0,20.0,20.1,49.74,
74,2.0,0.0,19.0,25.0,20.0,25.02,49.74,1
75,3.0,0.0,19.0,0.0,40.0,21.0,49.74,
76,4.0,25.0,20.0,23.0,43.0,23.09,49.74,1
77,5.0,0.0,40.0,6.0,42.0,6.32,49.74,1
78,6.0,6.0,42.0,23.0,43.0,17.03,49.74,1
79,0.0,0.0,0.0,0.0,19.0,19.0,38.83,
80,1.0,8.0,0.0,8.0,7.0,7.0,38.83,
81,2.0,0.0,19.0,8.0,7.0,14.42,38.83,1
82,3.0,0.0,19.0,2.0,37.0,18.11,38.83,
83,4.0,8.0,7.0,6.0,30.0,23.09,38.83,1
84,5.0,2.0,37.0,2.0,38.0,1.0,38.83,
85,6.0,2.0,38.0,6.0,30.0,8.94,38.83,
86,0.0,0.0,0.0,0.0,12.0,12.0,40.5,
87,1.0,11.0,0.0,12.0,17.0,17.03,40.5,1
88,2.0,0.0,12.0,12.0,17.0,13.0,40.5,1
89,3.0,0.0,12.0,1.0,34.0,22.02,40.5,1
90,4.0,12.0,17.0,14.0,38.0,21.1,40.5,1
91,5.0,1.0,34.0,14.0,38.0,13.6,40.5,1
92,0.0,0.0,0.0,0.0,20.0,20.0,49.66,
93,1.0,19.0,0.0,21.0,14.0,14.14,49.66,
94,2.0,0.0,20.0,21.0,14.0,21.84,49.66,1
95,3.0,0.0,20.0,20.0,45.0,32.02,49.66,1
96,4.0,21.0,14.0,20.0,45.0,31.02,49.66,1
97,0.0,0.0,0.0,0.0,8.0,8.0,35.9,
98,1.0,6.0,0.0,8.0,11.0,11.18,35.9,1
99,2.0,0.0,8.0,8.0,11.0,8.54,35.9,1
100,3.0,0.0,8.0,2.0,27.0,19.1,35.9,
101,4.0,8.0,11.0,8.0,29.0,18.0,35.9,1
102,5.0,2.0,27.0,8.0,35.0,10.0,35.9,
103,6.0,8.0,35.0,8.0,29.0,6.0,35.9,1
104,0.0,0.0,0.0,0.0,13.0,13.0,33.96,
105,1.0,6.0,0.0,8.0,11.0,11.18,33.96,
106,2.0,0.0,13.0,8.0,11.0,8.25,33.96,
107,3.0,0.0,13.0,1.0,33.0,20.02,33.96,
108,4.0,8.0,11.0,8.0,20.0,9.0,33.96,
109,5.0,1.0,33.0,8.0,20.0,14.76,33.96,
110,0.0,0.0,0.0,0.0,19.0,19.0,46.62,
111,1.0,17.0,0.0,18.0,14.0,14.04,46.62,1
112,2.0,0.0,19.0,18.0,14.0,18.68,46.62,1
113,3.0,0.0,19.0,1.0,35.0,16.03,46.62,1
114,4.0,18.0,14.0,16.0,33.0,19.1,46.62,
115,5.0,1.0,35.0,14.0,43.0,15.26,46.62,
116,6.0,14.0,43.0,16.0,33.0,10.2,46.62,
117,0.0,0.0,0.0,0.0,25.0,25.0,48.38,1
118,1.0,13.0,0.0,14.0,26.0,26.02,48.38,
119,2.0,0.0,25.0,14.0,26.0,14.04,48.38,1
120,3.0,0.0,25.0,1.0,46.0,21.02,48.38,
121,4.0,14.0,26.0,15.0,38.0,12.04,48.38,1
122,5.0,1.0,46.0,15.0,38.0,16.12,48.38,1
123,0.0,0.0,0.0,0.0,10.0,10.0,36.36,
124,1.0,17.0,0.0,19.0,11.0,11.18,36.36,
125,2.0,0.0,10.0,19.0,11.0,19.03,36.36,
126,3.0,0.0,10.0,1.0,24.0,14.04,36.36,1
127,4.0,19.0,11.0,18.0,17.0,6.08,36.36,
128,5.0,1.0,24.0,9.0,31.0,10.63,36.36,1
129,6.0,9.0,31.0,18.0,17.0,16.64,36.36,1
130,0.0,0.0,0.0,0.0,7.0,7.0,26.25,1
131,1.0,18.0,0.0,19.0,11.0,11.05,26.25,
132,2.0,0.0,7.0,19.0,11.0,19.42,26.25,
133,3.0,0.0,7.0,0.0,16.0,9.0,26.25,
134,4.0,19.0,11.0,20.0,17.0,6.08,26.25,1
135,5.0,0.0,16.0,20.0,17.0,20.02,26.25,
136,0.0,0.0,0.0,0.0,13.0,13.0,27.46,
137,1.0,13.0,0.0,15.0,10.0,10.2,27.46,
138,2.0,0.0,13.0,15.0,10.0,15.3,27.46,
139,3.0,0.0,13.0,3.0,23.0,10.44,27.46,1
140,4.0,15.0,10.0,3.0,23.0,17.69,27.46,
141,0.0,0.0,0.0,0.0,6.0,6.0,32.02,1
142,1.0,19.0,0.0,20.0,10.0,10.05,32.02,
143,2.0,0.0,6.0,20.0,10.0,20.4,32.02,1
144,3.0,0.0,6.0,1.0,21.0,15.03,32.02,
145,4.0,20.0,10.0,18.0,25.0,15.13,32.02,
146,5.0,1.0,21.0,18.0,25.0,17.46,32.02,1
147,0.0,0.0,0.0,0.0,11.0,11.0,35.38,1
148,1.0,24.0,0.0,24.0,12.0,12.0,35.38,
149,2.0,0.0,11.0,24.0,12.0,24.02,35.38,
150,3.0,0.0,11.0,2.0,23.0,12.17,35.38,1
151,4.0,24.0,12.0,24.0,26.0,14.0,35.38,1
152,5.0,2.0,23.0,24.0,26.0,22.2,35.38,
153,0.0,0.0,0.0,0.0,17.0,17.0,44.94,
154,1.0,22.0,0.0,24.0,20.0,20.1,44.94,
155,2.0,0.0,17.0,24.0,20.0,24.19,44.94,
156,3.0,0.0,17.0,1.0,38.0,21.02,44.94,
157,4.0,24.0,20.0,1.0,38.0,29.21,44.94,
158,0.0,0.0,0.0,0.0,25.0,25.0,49.24,
159,1.0,21.0,0.0,22.0,6.0,6.08,49.24,1
160,2.0,0.0,25.0,22.0,6.0,29.07,49.24,
161,3.0,0.0,25.0,2.0,43.0,18.11,49.24,1
162,4.0,22.0,6.0,24.0,13.0,7.28,49.24,
163,5.0,2.0,43.0,24.0,13.0,37.2,49.24,
164,0.0,0.0,0.0,0.0,13.0,13.0,40.85,1
165,1.0,14.0,0.0,14.0,17.0,17.0,40.85,1
166,2.0,0.0,13.0,14.0,17.0,14.56,40.85,1
167,3.0,0.0,13.0,2.0,35.0,22.09,40.85,
168,4.0,14.0,17.0,15.0,38.0,21.02,40.85,1
169,5.0,2.0,35.0,15.0,38.0,13.34,40.85,
170,0.0,0.0,0.0,0.0,6.0,6.0,36.62,1
171,1.0,19.0,0.0,21.0,10.0,10.2,36.62,
172,2.0,0.0,6.0,21.0,10.0,21.38,36.62,
173,3.0,0.0,6.0,2.0,12.0,6.32,36.62,
174,4.0,21.0,10.0,21.0,30.0,20.0,36.62,
175,5.0,2.0,12.0,21.0,30.0,26.17,36.62,
176,0.0,0.0,0.0,0.0,13.0,13.0,30.08,
177,1.0,7.0,0.0,8.0,15.0,15.03,30.08,
178,2.0,0.0,13.0,8.0,15.0,8.25,30.08,
179,3.0,0.0,13.0,2.0,29.0,16.12,30.08,
180,4.0,8.0,15.0,2.0,29.0,15.23,30.08,
181,0.0,0.0,0.0,0.0,11.0,11.0,26.63,
182,1.0,15.0,0.0,15.0,14.0,14.0,26.63,
183,2.0,0.0,11.0,15.0,14.0,15.3,26.63,
184,3.0,0.0,11.0,2.0,22.0,11.18,26.63,1
185,4.0,15.0,14.0,2.0,22.0,15.26,26.63,
186,0.0,0.0,0.0,0.0,14.0,14.0,21.19,1
187,1.0,6.0,0.0,7.0,12.0,12.04,21.19,1
188,2.0,0.0,14.0,7.0,12.0,7.28,21.19,
189,3.0,0.0,14.0,5.0,20.0,7.81,21.19,1
190,4.0,7.0,12.0,5.0,20.0,8.25,21.19,1
191,0.0,0.0,0.0,0.0,25.0,25.0,44.38,
192,1.0,15.0,0.0,16.0,6.0,6.08,44.38,
193,2.0,0.0,25.0,16.0,6.0,24.84,44.38,
194,3.0,0.0,25.0,1.0,41.0,16.03,44.38,
195,4.0,16.0,6.0,17.0,30.0,24.02,44.38,
196,5.0,1.0,41.0,17.0,30.0,19.42,44.38,
197,0.0,0.0,0.0,0.0,7.0,7.0,39.05,1
198,1.0,22.0,0.0,24.0,10.0,10.2,39.05,1
199,2.0,0.0,7.0,24.0,10.0,24.19,39.05,
200,3.0,0.0,7.0,0.0,26.0,19.0,39.05,1
201,4.0,24.0,10.0,25.0,24.0,14.04,39.05,1
202,5.0,0.0,26.0,14.0,30.0,14.56,39.05,1
203,6.0,14.0,30.0,25.0,24.0,12.53,39.05,
204,0.0,0.0,0.0,0.0,22.0,22.0,56.46,1
205,1.0,22.0,0.0,22.0,15.0,15.0,56.46,1
206,2.0,0.0,22.0,22.0,15.0,23.09,56.46,1
207,3.0,0.0,22.0,2.0,45.0,23.09,56.46,1
208,4.0,22.0,15.0,20.0,36.0,21.1,56.46,
209,5.0,2.0,45.0,14.0,52.0,13.89,56.46,
210,6.0,14.0,52.0,20.0,36.0,17.09,56.46,
211,0.0,0.0,0.0,0.0,19.0,19.0,37.66,
212,1.0,6.0,0.0,7.0,24.0,24.02,37.66,
213,2.0,0.0,19.0,7.0,24.0,8.6,37.66,1
214,3.0,0.0,19.0,0.0,31.0,12.0,37.66,
215,4.0,7.0,24.0,5.0,37.0,13.15,37.66,
216,5.0,0.0,31.0,5.0,37.0,7.81,37.66,1
217,0.0,0.0,0.0,0.0,16.0,16.0,47.17,
218,1.0,25.0,0.0,25.0,18.0,18.0,47.17,
219,2.0,0.0,16.0,25.0,18.0,25.08,47.17,1
220,3.0,0.0,16.0,0.0,33.0,17.0,47.17,
221,4.0,25.0,18.0,25.0,40.0,22.0,47.17,
222,5.0,0.0,33.0,1.0,33.0,1.0,47.17,
223,6.0,1.0,33.0,25.0,40.0,25.0,47.17,
224,0.0,0.0,0.0,0.0,10.0,10.0,33.62,
225,1.0,16.0,0.0,17.0,14.0,14.04,33.62,
226,2.0,0.0,10.0,17.0,14.0,17.46,33.62,
227,3.0,0.0,10.0,2.0,23.0,13.15,33.62,
228,4.0,17.0,14.0,15.0,28.0,14.14,33.62,
229,5.0,2.0,23.0,13.0,29.0,12.53,33.62,
230,6.0,13.0,29.0,15.0,28.0,2.24,33.62,1
231,0.0,0.0,0.0,0.0,21.0,21.0,44.94,
232,1.0,22.0,0.0,24.0,23.0,23.09,44.94,1
233,2.0,0.0,21.0,24.0,23.0,24.08,44.94,
234,3.0,0.0,21.0,14.0,38.0,22.02,44.94,
235,4.0,24.0,23.0,14.0,38.0,18.03,44.94,1
236,0.0,0.0,0.0,0.0,17.0,17.0,38.08,
237,1.0,9.0,0.0,9.0,17.0,17.0,38.08,
238,2.0,0.0,17.0,9.0,17.0,9.0,38.08,
239,3.0,0.0,17.0,5.0,37.0,20.62,38.08,1
240,4.0,9.0,17.0,5.0,37.0,20.4,38.08,
241,0.0,0.0,0.0,0.0,24.0,24.0,30.59,1
242,1.0,6.0,0.0,6.0,13.0,13.0,30.59,1
243,2.0,0.0,24.0,6.0,13.0,12.53,30.59,1
244,3.0,0.0,24.0,2.0,30.0,6.32,30.59,
245,4.0,6.0,13.0,2.0,30.0,17.46,30.59,
246,0.0,0.0,0.0,0.0,12.0,12.0,36.72,1
247,1.0,17.0,0.0,18.0,12.0,12.04,36.72,
248,2.0,0.0,12.0,18.0,12.0,18.0,36.72,
249,3.0,0.0,12.0,14.0,32.0,24.41,36.72,1
250,4.0,18.0,12.0,14.0,32.0,20.4,36.72,
251,0.0,0.0,0.0,0.0,22.0,22.0,52.33,
252,1.0,22.0,0.0,23.0,12.0,12.04,52.33,1
253,2.0,0.0,22.0,23.0,12.0,25.08,52.33,1
254,3.0,0.0,22.0,14.0,47.0,28.65,52.33,
255,4.0,23.0,12.0,14.0,47.0,36.14,52.33,1
256,0.0,0.0,0.0,0.0,17.0,17.0,29.53,1
257,1.0,12.0,0.0,14.0,21.0,21.1,29.53,1
258,2.0,0.0,17.0,14.0,21.0,14.56,29.53,1
259,3.0,0.0,17.0,6.0,26.0,10.82,29.53,
260,4.0,14.0,21.0,6.0,26.0,9.43,29.53,1
261,0.0,0.0,0.0,0.0,7.0,7.0,38.83,
262,1.0,22.0,0.0,22.0,7.0,7.0,38.83,1
263,2.0,0.0,7.0,22.0,7.0,22.0,38.83,1
264,3.0,0.0,7.0,1.0,32.0,25.02,38.83,
265,4.0,22.0,7.0,22.0,31.0,24.0,38.83,
266,5.0,1.0,32.0,22.0,31.0,21.02,38.83,1
267,0.0,0.0,0.0,0.0,18.0,18.0,43.68,
268,1.0,8.0,0.0,10.0,16.0,16.12,43.68,
269,2.0,0.0,18.0,10.0,16.0,10.2,43.68,1
270,3.0,0.0,18.0,2.0,37.0,19.1,43.68,
271,4.0,10.0,16.0,12.0,24.0,8.25,43.68,
272,5.0,2.0,37.0,10.0,42.0,9.43,43.68,
273,6.0,10.0,42.0,12.0,24.0,18.11,43.68,
274,0.0,0.0,0.0,0.0,19.0,19.0,53.85,
275,1.0,19.0,0.0,20.0,15.0,15.03,53.85,
276,2.0,0.0,19.0,20.0,15.0,20.4,53.85,1
277,3.0,0.0,19.0,2.0,43.0,24.08,53.85,1
278,4.0,20.0,15.0,20.0,40.0,25.0,53.85,
279,5.0,2.0,43.0,12.0,50.0,12.21,53.85,1
280,6.0,12.0,50.0,20.0,40.0,12.81,53.85,
281,0.0,0.0,0.0,0.0,25.0,25.0,55.9,
282,1.0,8.0,0.0,10.0,11.0,11.18,55.9,1
283,2.0,0.0,25.0,10.0,11.0,17.2,55.9,
284,3.0,0.0,25.0,2.0,46.0,21.1,55.9,
285,4.0,10.0,11.0,10.0,32.0,21.0,55.9,
286,5.0,2.0,46.0,4.0,55.0,9.22,55.9,1
287,6.0,4.0,55.0,10.0,32.0,23.77,55.9,
288,0.0,0.0,0.0,0.0,19.0,19.0,38.95,1
289,1.0,18.0,0.0,19.0,18.0,18.03,38.95,
290,2.0,0.0,19.0,19.0,18.0,19.03,38.95,
291,3.0,0.0,19.0,1.0,27.0,8.06,38.95,1
292,4.0,19.0,18.0,19.0,34.0,16.0,38.95,
293,5.0,1.0,27.0,19.0,34.0,19.31,38.95,1
294,0.0,0.0,0.0,0.0,11.0,11.0,32.2,
295,1.0,18.0,0.0,19.0,13.0,13.04,32.2,1
296,2.0,0.0,11.0,19.0,13.0,19.1,32.2,
297,3.0,0.0,11.0,1.0,18.0,7.07,32.2,1
298,4.0,19.0,13.0,17.0,26.0,13.15,32.2,
299,5.0,1.0,18.0,9.0,24.0,10.0,32.2,1
300,6.0,9.0,24.0,17.0,26.0,8.25,32.2,
301,0.0,0.0,0.0,0.0,11.0,11.0,40.22,
302,1.0,21.0,0.0,22.0,15.0,15.03,40.22,1
303,2.0,0.0,11.0,22.0,15.0,22.36,40.22,1
304,3.0,0.0,11.0,1.0,29.0,18.03,40.22,
305,4.0,22.0,15.0,23.0,33.0,18.03,40.22,
306,5.0,1.0,29.0,23.0,33.0,22.36,40.22,1
307,0.0,0.0,0.0,0.0,18.0,18.0,44.64,
308,1.0,11.0,0.0,12.0,7.0,7.07,44.64,
309,2.0,0.0,18.0,12.0,7.0,16.28,44.64,
310,3.0,0.0,18.0,2.0,38.0,20.1,44.64,1
311,4.0,12.0,7.0,12.0,21.0,14.0,44.64,
312,5.0,2.0,38.0,5.0,43.0,5.83,44.64,
313,6.0,5.0,43.0,12.0,21.0,23.09,44.64,
314,0.0,0.0,0.0,0.0,9.0,9.0,30.46,
315,1.0,10.0,0.0,10.0,7.0,7.0,30.46,1
316,2.0,0.0,9.0,10.0,7.0,10.2,30.46,1
317,3.0,0.0,9.0,2.0,23.0,14.14,30.46,1
318,4.0,10.0,7.0,12.0,28.0,21.1,30.46,1
319,5.0,2.0,23.0,6.0,28.0,6.4,30.46,1
320,6.0,6.0,28.0,12.0,28.0,6.0,30.46,
321,0.0,0.0,0.0,0.0,8.0,8.0,40.82,
322,1.0,20.0,0.0,21.0,12.0,12.04,40.82,
323,2.0,0.0,8.0,21.0,12.0,21.38,40.82,1
324,3.0,0.0,8.0,1.0,17.0,9.06,40.82,1
325,4.0,21.0,12.0,21.0,35.0,23.0,40.82,1
326,5.0,1.0,17.0,21.0,35.0,26.91,40.82,
327,0.0,0.0,0.0,0.0,14.0,14.0,39.81,
328,1.0,8.0,0.0,8.0,14.0,14.0,39.81,
329,2.0,0.0,14.0,8.0,14.0,8.0,39.81,
330,3.0,0.0,14.0,3.0,39.0,25.18,39.81,1
331,4.0,8.0,14.0,3.0,39.0,25.5,39.81,
332,0.0,0.0,0.0,0.0,21.0,21.0,53.31,
333,1.0,20.0,0.0,21.0,25.0,25.02,53.31,
334,2.0,0.0,21.0,21.0,25.0,21.38,53.31,
335,3.0,0.0,21.0,2.0,31.0,10.2,53.31,1
336,4.0,21.0,25.0,21.0,49.0,24.0,53.31,
337,5.0,2.0,31.0,21.0,49.0,26.17,53.31,1
338,0.0,0.0,0.0,0.0,20.0,20.0,45.19,1
339,1.0,16.0,0.0,18.0,16.0,16.12,45.19,
340,2.0,0.0,20.0,18.0,16.0,18.44,45.19,
341,3.0,0.0,20.0,1.0,34.0,14.04,45.19,1
342,4.0,18.0,16.0,19.0,41.0,25.02,45.19,1
343,5.0,1.0,34.0,19.0,41.0,19.31,45.19,1
344,0.0,0.0,0.0,0.0,17.0,17.0,38.08,
345,1.0,13.0,0.0,15.0,17.0,17.12,38.08,1
346,2.0,0.0,17.0,15.0,17.0,15.0,38.08,
347,3.0,0.0,17.0,1.0,28.0,11.05,38.08,
348,4.0,15.0,17.0,15.0,24.0,7.0,38.08,1
349,5.0,1.0,28.0,3.0,35.0,7.28,38.08,
350,6.0,3.0,35.0,15.0,24.0,16.28,38.08,1
351,0.0,0.0,0.0,0.0,24.0,24.0,33.24,
352,1.0,12.0,0.0,12.0,8.0,8.0,33.24,
353,2.0,0.0,24.0,12.0,8.0,20.0,33.24,
354,3.0,0.0,24.0,6.0,31.0,9.22,33.24,1
355,4.0,12.0,8.0,6.0,31.0,23.77,33.24,
356,0.0,0.0,0.0,0.0,10.0,10.0,37.22,1
357,1.0,18.0,0.0,19.0,8.0,8.06,37.22,
358,2.0,0.0,10.0,19.0,8.0,19.1,37.22,1
359,3.0,0.0,10.0,10.0,32.0,24.17,37.22,
360,4.0,19.0,8.0,10.0,32.0,25.63,37.22,
361,0.0,0.0,0.0,0.0,24.0,24.0,52.39,
362,1.0,20.0,0.0,21.0,26.0,26.02,52.39,1
363,2.0,0.0,24.0,21.0,26.0,21.1,52.39,1
364,3.0,0.0,24.0,1.0,41.0,17.03,52.39,
365,4.0,21.0,26.0,19.0,40.0,14.14,52.39,
366,5.0,1.0,41.0,4.0,48.0,7.62,52.39,1
367,6.0,4.0,48.0,19.0,40.0,17.0,52.39,
368,0.0,0.0,0.0,0.0,16.0,16.0,39.2,
369,1.0,21.0,0.0,23.0,21.0,21.1,39.2,
370,2.0,0.0,16.0,23.0,21.0,23.54,39.2,1
371,3.0,0.0,16.0,1.0,24.0,8.06,39.2,1
372,4.0,23.0,21.0,24.0,31.0,10.05,39.2,
373,5.0,1.0,24.0,24.0,24.0,23.0,39.2,1
374,6.0,24.0,24.0,24.0,31.0,7.0,39.2,
375,0.0,0.0,0.0,0.0,14.0,14.0,33.24,
376,1.0,7.0,0.0,8.0,18.0,18.03,33.24,1
377,2.0,0.0,14.0,8.0,18.0,8.94,33.24,
378,3.0,0.0,14.0,2.0,31.0,17.12,33.24,1
379,4.0,8.0,18.0,9.0,32.0,14.04,33.24,1
380,5.0,2.0,31.0,9.0,32.0,7.07,33.24,1
381,0.0,0.0,0.0,0.0,24.0,24.0,47.01,
382,1.0,22.0,0.0,23.0,27.0,27.02,47.01,1
383,2.0,0.0,24.0,23.0,27.0,23.19,47.01,
384,3.0,0.0,24.0,0.0,33.0,9.0,47.01,1
385,4.0,23.0,27.0,21.0,41.0,14.14,47.01,1
386,5.0,0.0,33.0,21.0,41.0,22.47,47.01,1
387,0.0,0.0,0.0,0.0,14.0,14.0,38.08,1
388,1.0,15.0,0.0,15.0,16.0,16.0,38.08,
389,2.0,0.0,14.0,15.0,16.0,15.13,38.08,
390,3.0,0.0,14.0,2.0,35.0,21.1,38.08,1
391,4.0,15.0,16.0,2.0,35.0,23.02,38.08,1
392,0.0,0.0,0.0,0.0,14.0,14.0,34.21,1
393,1.0,8.0,0.0,9.0,18.0,18.03,34.21,
394,2.0,0.0,14.0,9.0,18.0,9.85,34.21,1
395,3.0,0.0,14.0,6.0,33.0,19.92,34.21,
396,4.0,9.0,18.0,6.0,33.0,15.3,34.21,
397,0.0,0.0,0.0,0.0,12.0,12.0,30.41,1
398,1.0,14.0,0.0,14.0,12.0,12.0,30.41,1
399,2.0,0.0,12.0,14.0,12.0,14.0,30.41,1
400,3.0,0.0,12.0,8.0,27.0,17.0,30.41,1
401,4.0,14.0,12.0,8.0,27.0,16.16,30.41,1
402,0.0,0.0,0.0,0.0,22.0,22.0,42.06,1
403,1.0,18.0,0.0,20.0,14.0,14.14,42.06,1
404,2.0,0.0,22.0,20.0,14.0,21.54,42.06,1
405,3.0,0.0,22.0,2.0,29.0,7.28,42.06,
406,4.0,20.0,14.0,19.0,31.0,17.03,42.06,1
407,5.0,2.0,29.0,4.0,37.0,8.25,42.06,
408,6.0,4.0,37.0,19.0,31.0,16.16,42.06,1
409,0.0,0.0,0.0,0.0,21.0,21.0,47.07,1
410,1.0,10.0,0.0,10.0,21.0,21.0,47.07,1
411,2.0,0.0,21.0,10.0,21.0,10.0,47.07,1
412,3.0,0.0,21.0,8.0,46.0,26.25,47.07,
413,4.0,10.0,21.0,8.0,46.0,25.08,47.07,
414,0.0,0.0,0.0,0.0,21.0,21.0,45.19,1
415,1.0,16.0,0.0,17.0,25.0,25.02,45.19,
416,2.0,0.0,21.0,17.0,25.0,17.46,45.19,
417,3.0,0.0,21.0,2.0,27.0,6.32,45.19,
418,4.0,17.0,25.0,19.0,41.0,16.12,45.19,1
419,5.0,2.0,27.0,19.0,41.0,22.02,45.19,1
420,0.0,0.0,0.0,0.0,17.0,17.0,42.8,
421,1.0,24.0,0.0,26.0,18.0,18.11,42.8,
422,2.0,0.0,17.0,26.0,18.0,26.02,42.8,1
423,3.0,0.0,17.0,0.0,34.0,17.0,42.8,
424,4.0,26.0,18.0,26.0,30.0,12.0,42.8,1
425,5.0,0.0,34.0,26.0,30.0,26.31,42.8,
426,0.0,0.0,0.0,0.0,10.0,10.0,36.12,1
427,1.0,25.0,0.0,27.0,13.0,13.15,36.12,
428,2.0,0.0,10.0,27.0,13.0,27.17,36.12,
429,3.0,0.0,10.0,0.0,20.0,10.0,36.12,
430,4.0,27.0,13.0,27.0,24.0,11.0,36.12,1
431,5.0,0.0,20.0,27.0,24.0,27.29,36.12,1
432,0.0,0.0,0.0,0.0,20.0,20.0,41.59,
433,1.0,6.0,0.0,7.0,22.0,22.02,41.59,
434,2.0,0.0,20.0,7.0,22.0,7.28,41.59,
435,3.0,0.0,20.0,3.0,41.0,21.21,41.59,1
436,4.0,7.0,22.0,3.0,41.0,19.42,41.59,
437,0.0,0.0,0.0,0.0,22.0,22.0,60.84,1
438,1.0,24.0,0.0,25.0,9.0,9.06,60.84,
439,2.0,0.0,22.0,25.0,9.0,28.18,60.84,1
440,3.0,0.0,22.0,2.0,46.0,24.08,60.84,
441,4.0,25.0,9.0,26.0,29.0,20.02,60.84,1
442,5.0,2.0,46.0,13.0,55.0,14.21,60.84,1
